!IOTYPE  ikx stn_id
 t       181 78789
 t       181 78846
 t       181 78858
 t       181 78859
 t       181 78862
 t       181 78866
 t       181 78871
 t       181 78873
 t       181 78890
 t       181 78894
 t       181 78896
 t       181 78897
 t       181 78906
 t       181 78958
 t       181 78962
 t       181 78982
 t       181 78988
 t       181 78990
 t       181 80001
 t       181 80002
 t       181 80003
 t       181 80008
 t       181 80009
 t       181 80010
 t       181 80025
 t       181 80030
 t       181 80034
 t       181 80035
 t       181 81001
 t       181 81202
 t       181 81648
 t       181 81658
 t       181 81660
 t       181 81717
 t       181 81743
 t       181 81918
 t       181 82098
 t       181 82280
 t       181 82281
 t       181 82798
 t       181 83229
 t       181 83349
 t       181 83460
 t       181 83498
 t       181 83499
 t       181 83650
 t       181 83825
 t       181 83970
 t       181 84001
 t       181 84008
 t       181 84010
 t       181 84117
 t       181 84200
 t       181 84370
 t       181 84691
 t       181 85032
 t       181 85469
 t       181 85585
 t       181 85586
 t       181 85682
 t       181 85731
 t       181 85829
 t       181 86394
 t       181 86595
 t       181 86618
 t       181 86660
 t       181 86677
 t       181 86678
 t       181 86764
 t       181 86885
 t       181 86892
 t       181 86900
 t       181 86914
 t       181 86972
 t       181 86981
 t       181 86990
 t       181 86994
 t       181 86995
 t       181 87553
 t       181 87582
 t       181 87659
 t       181 87904
 t       181 87928
 t       181 87934
 t       181 88870
 t       181 88878
 t       181 88883
 t       181 88897
 t       181 88900
 t       181 88903
 t       181 88963
 t       181 88968
 t       181 89002
 t       181 89003
 t       181 89004
 t       181 89009
 t       181 89011
 t       181 89013
 t       181 89014
 t       181 89022
 t       181 89034
 t       181 89050
 t       181 89053
 t       181 89054
 t       181 89055
 t       181 89056
 t       181 89057
 t       181 89058
 t       181 89059
 t       181 89061
 t       181 89062
 t       181 89063
 t       181 89064
 t       181 89065
 t       181 89066
 t       181 89070
 t       181 89079
 t       181 89108
 t       181 89251
 t       181 89257
 t       181 89262
 t       181 89266
 t       181 89272
 t       181 89332
 t       181 89376
 t       181 89377
 t       181 89504
 t       181 89512
 t       181 89532
 t       181 89564
 t       181 89570
 t       181 89571
 t       181 89573
 t       181 89574
 t       181 89577
 t       181 89578
 t       181 89592
 t       181 89606
 t       181 89611
 t       181 89614
 t       181 89615
 t       181 89625
 t       181 89642
 t       181 89648
 t       181 89659
 t       181 89661
 t       181 89662
 t       181 89664
 t       181 89666
 t       181 89734
 t       181 89767
 t       181 89774
 t       181 89776
 t       181 89799
 t       181 89807
 t       181 89809
 t       181 89811
 t       181 89817
 t       181 89828
 t       181 89859
 t       181 89866
 t       181 89872
 t       181 89873
 t       181 89879
 t       181 8C9
 t       181 8D4
 t       181 8DA
 t       181 8F2
 t       181 91165
 t       181 91203
 t       181 91212
 t       181 91245
 t       181 91285
 t       181 91293
 t       181 91317
 t       181 91320
 t       181 91325
 t       181 91329
 t       181 91334
 t       181 91336
 t       181 91339
 t       181 91343
 t       181 91348
 t       181 91350
 t       181 91353
 t       181 91356
 t       181 91367
 t       181 91369
 t       181 91376
 t       181 91408
 t       181 91413
 t       181 91425
 t       181 91434
 t       181 91490
 t       181 91503
 t       181 91546
 t       181 91551
 t       181 91554
 t       181 91557
 t       181 91565
 t       181 91568
 t       181 91570
 t       181 91573
 t       181 91574
